date,day,th_month,year,1st_prize,2digit_up,3digit_up,2digit_buttom,"3digit_front,3digit_bottom",3digit_front,3digit_bottom,thai_zodiac,dow,moon_phase,moon_category,moon_distance_km
2023-07-01,1,กรกฎาคม,2566,922605,05,605,16,['281' '867' '491' '947'],['281' '867'],['491' '947'],Rabbit,Saturday,0.9157965087890625,ช่วงข้างแรมแก่,372317.52068300033
2023-06-16,16,มิถุนายน,2566,264872,72,872,30,['519' '628' '202' '874'],['519' '628'],['202' '874'],Rabbit,Friday,0.04956151962280273,เริ่มข้างขึ้น,389661.04408303974
2023-06-01,1,มิถุนายน,2566,125272,72,272,09,['000' '681' '386' '971'],['000' '681'],['386' '971'],Rabbit,Thursday,0.8827454376220704,ช่วงข้างแรมแก่,384919.95716259815
2023-05-16,16,พฤษภาคม,2566,132903,03,903,99,['678' '739' '693' '731'],['678' '739'],['693' '731'],Rabbit,Tuesday,0.15125388145446778,ช่วงข้างขึ้น,375194.10586705897
2023-05-02,2,พฤษภาคม,2566,843019,19,019,65,['500' '780' '187' '269'],['500' '780'],['187' '269'],Rabbit,Tuesday,0.8565222930908203,ช่วงข้างแรม,396229.88606824307
2023-04-16,16,เมษายน,2566,984906,06,906,71,['670' '678' '551' '797'],['670' '678'],['551' '797'],Rabbit,Sunday,0.2159425735473633,ช่วงข้างขึ้น,367972.4270418589
2023-04-01,1,เมษายน,2566,087907,07,907,99,['111' '914' '290' '698'],['111' '914'],['290' '698'],Rabbit,Saturday,0.7618067932128906,ช่วงข้างแรม,404753.89480047394
2023-03-16,16,มีนาคม,2566,025873,73,873,73,['420' '800' '355' '544'],['420' '800'],['355' '544'],Rabbit,Thursday,0.39898445129394533,จันทร์เพ็ญ,370470.5040927348
2023-03-01,1,มีนาคม,2566,417652,52,652,55,['577' '919' '748' '984'],['577' '919'],['748' '984'],Rabbit,Wednesday,0.6596529388427734,ช่วงข้างแรม,401866.2333684764
2023-02-16,16,กุมภาพันธ์,2566,590417,17,417,80,['195' '664' '377' '523'],['195' '664'],['377' '523'],Rabbit,Thursday,0.25183151245117186,ช่วงข้างขึ้น,367533.278192759
2023-02-01,1,กุมภาพันธ์,2566,297411,11,411,92,['181' '789' '101' '664'],['181' '789'],['101' '664'],Rabbit,Wednesday,0.8086981201171874,ช่วงข้างแรม,402014.7177866008
2023-01-17,17,มกราคม,2566,812519,19,519,47,['389' '443' '564' '849'],['389' '443'],['564' '849'],Rabbit,Tuesday,0.3034076309204102,ช่วงข้างขึ้น,375903.9958332316
2022-12-30,30,ธันวาคม,2565,157196,96,196,58,['007' '522' '250' '425'],['007' '522'],['250' '425'],Tiger,Friday,0.49513252258300783,จันทร์เพ็ญ,379484.61938077817
2022-12-16,16,ธันวาคม,2565,845093,93,093,14,['411' '912' '593' '855'],['411' '912'],['593' '855'],Tiger,Friday,0.5379436111450195,จันทร์เพ็ญ,397208.53178629186
2022-12-01,1,ธันวาคม,2565,375805,05,805,08,['170' '786' '409' '421'],['170' '786'],['409' '421'],Tiger,Thursday,0.5447134399414062,จันทร์เพ็ญ,375504.5194570953
2022-11-16,16,พฤศจิกายน,2565,121789,89,789,64,['532' '722' '157' '973'],['532' '722'],['157' '973'],Tiger,Wednesday,0.5547080230712891,จันทร์เพ็ญ,403059.8906542198
2022-11-01,1,พฤศจิกายน,2565,913106,06,106,70,['722' '839' '343' '922'],['722' '839'],['343' '922'],Tiger,Tuesday,0.4696364974975586,จันทร์เพ็ญ,370260.0553818955
